confidence,datetaken,latitude,longitude,owner,ownername,relevant,title,url,wild
,2020-08-25T16:44:44.000Z,0,0,146427911@N08,charlene.guenordeau,TRUE,ZooParc_Beauval_Girafe_reticulee_1,https://live.staticflickr.com/65535/50342262956_0e70ffab5d_b.jpg,FALSE
,2020-06-24T13:15:16.000Z,47.246115,1.349177,125057668@N02,Paul MOINE,TRUE,Girafe réticulée (Giraffa camelopardalis reticulata),https://live.staticflickr.com/65535/50134306856_8f4dea65f3_b.jpg,FALSE
,2020-06-24T13:16:00.000Z,47.246115,1.349177,125057668@N02,Paul MOINE,TRUE,Girafe réticulée (Giraffa camelopardalis reticulata),https://live.staticflickr.com/65535/50134536052_0cc7a544b2_b.jpg,FALSE
,2020-06-24T13:11:20.000Z,47.246115,1.349177,125057668@N02,Paul MOINE,TRUE,Girafe réticulée (Giraffa camelopardalis reticulata),https://live.staticflickr.com/65535/50134497282_857f361f39_b.jpg,FALSE
,2020-06-24T13:09:59.000Z,47.246115,1.349177,125057668@N02,Paul MOINE,TRUE,Girafe réticulée (Giraffa camelopardalis reticulata),https://live.staticflickr.com/65535/50134473652_70cc97e372_b.jpg,FALSE
,2020-06-24T13:08:51.000Z,47.246115,1.349177,125057668@N02,Paul MOINE,TRUE,Girafe réticulée (Giraffa camelopardalis reticulata),https://live.staticflickr.com/65535/50134205536_0f21a82c81_b.jpg,FALSE
,2020-03-02T15:06:00.000Z,0,0,156408406@N05,philippesikorsky,TRUE,girafe samburu kenya,https://live.staticflickr.com/65535/49802703756_ff07e13431_b.jpg,TRUE
88.99753094,2020-02-23T13:44:11.000Z,-1.375092,36.744021,84554176@N00,Giåm,TRUE,2/23/20,https://live.staticflickr.com/65535/49680613787_e38895ae97_b.jpg,unknown
76.02116466,2020-02-22T05:45:09.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/22/20,https://live.staticflickr.com/65535/49665189382_830ee0472b_b.jpg,TRUE
73.18933606,2020-02-21T11:57:24.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/21/20,https://live.staticflickr.com/65535/49656147637_d8c04874e6_b.jpg,TRUE
50.379318,2020-02-21T11:54:28.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/21/20,https://live.staticflickr.com/65535/49654126106_a4533eb4f1_b.jpg,TRUE
85.40462255,2020-02-21T11:56:12.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/21/20,https://live.staticflickr.com/65535/49654405947_05d64beeaf_b.jpg,TRUE
88.01671267,2020-02-21T11:56:02.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/21/20,https://live.staticflickr.com/65535/49653588288_3a78fb1924_b.jpg,TRUE
53.65489125,2020-02-21T11:53:26.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/21/20,https://live.staticflickr.com/65535/49652039768_4d9bf48531_b.jpg,TRUE
84.77749228,2020-02-21T11:50:49.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/21/20,https://live.staticflickr.com/65535/49652039673_a58f954704_b.jpg,TRUE
88.18109632,2020-02-21T07:11:01.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/21/20,https://live.staticflickr.com/65535/49640179413_410f619493_b.jpg,TRUE
15.24840444,2020-02-21T06:32:35.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/21/20,https://live.staticflickr.com/65535/49638180116_9cc511a49a_b.jpg,TRUE
17.06642807,2020-02-21T06:32:40.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/21/20,https://live.staticflickr.com/65535/49637653158_c24462497f_b.jpg,TRUE
73.99119139,2020-02-20T14:49:30.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/20/20,https://live.staticflickr.com/65535/49627012013_a7b762c347_b.jpg,TRUE
21.57266736,2020-02-20T14:53:40.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/20/20,https://live.staticflickr.com/65535/49627011913_3863ebea4e_b.jpg,TRUE
79.91181612,2020-02-20T14:39:40.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/20/20,https://live.staticflickr.com/65535/49623304521_8d57ca1a2b_b.jpg,TRUE
90.13495445,2020-02-20T14:43:19.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/20/20,https://live.staticflickr.com/65535/49623576072_237feebdbc_b.jpg,TRUE
52.39639878,2020-02-21T11:54:34.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/21/20,https://live.staticflickr.com/65535/49653588393_d1f54a4dbc_b.jpg,TRUE
57.65839219,2020-02-21T11:55:56.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/21/20,https://live.staticflickr.com/65535/49653588313_42dfdfc552_b.jpg,TRUE
41.09529257,2020-02-21T11:52:51.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/21/20,https://live.staticflickr.com/65535/49652575566_843ed61285_b.jpg,TRUE
61.62281036,2020-02-20T14:48:17.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/20/20,https://live.staticflickr.com/65535/49627800047_8db66762c0_b.jpg,TRUE
88.06714416,2020-02-20T14:48:32.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/20/20,https://live.staticflickr.com/65535/49627799967_9965dcc829_b.jpg,TRUE
1.134690456,2020-02-20T14:53:56.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/20/20,https://live.staticflickr.com/65535/49627011833_a7f7e0980a_b.jpg,TRUE
79.83182073,2020-02-20T14:40:09.000Z,0.21108,38.161697,84554176@N00,Giåm,TRUE,2/20/20,https://live.staticflickr.com/65535/49623304421_2ca51cc93c_b.jpg,TRUE
54.55102324,2020-02-03T08:09:24.000Z,0,0,35419517@N04,Berit Christophersen,TRUE,Wildlife Kenya,https://live.staticflickr.com/31337/49483389511_a043c739da_b.jpg,TRUE
75.37750602,2020-01-09T09:45:52.000Z,0,0,97817403@N07,http://phj.bookfoto.com/,TRUE,Girafe prise de boisson,https://live.staticflickr.com/65535/49461025831_ea5e117e8f_b.jpg,TRUE
83.93726349,2020-01-08T11:06:15.000Z,0,0,97817403@N07,http://phj.bookfoto.com/,TRUE,girafes,https://live.staticflickr.com/65535/49430428973_eee40ae641_b.jpg,TRUE
86.88535094,2020-01-08T08:04:25.000Z,0,0,97817403@N07,http://phj.bookfoto.com/,TRUE,Girafes,https://live.staticflickr.com/65535/49430903481_6d0b70a2c5_b.jpg,TRUE
87.78653145,2020-01-07T18:21:18.000Z,0,0,97817403@N07,http://phj.bookfoto.com/,TRUE,Girafe réticulée,https://live.staticflickr.com/65535/49421095782_b9e4c3da85_b.jpg,TRUE
74.86895919,2020-01-07T18:19:34.000Z,0,0,97817403@N07,http://phj.bookfoto.com/,TRUE,Girafe réticulée,https://live.staticflickr.com/65535/49421095592_557e601ebd_b.jpg,TRUE
60.16812325,2019-12-30T14:59:53.000Z,0,0,62548071@N02,Photos Vincent 2011 and beyond,TRUE,0G6A9470_DxO,https://live.staticflickr.com/65535/49332814553_b339748c75_b.jpg,FALSE
82.03437328,2019-06-11T05:06:02.000Z,0,0,158365943@N06,macdelou,TRUE,girafes-1082 43,https://live.staticflickr.com/65535/49137138508_36ffd71d6d_b.jpg,TRUE
63.77886534,2019-12-30T14:58:24.000Z,0,0,62548071@N02,Photos Vincent 2011 and beyond,TRUE,0G6A9467_DxO,https://live.staticflickr.com/65535/49333074287_bba88bc230_b.jpg,FALSE
80.73911071,2019-08-01T14:23:00.000Z,0,0,70884607@N06,rustinejean,TRUE,2088 COUPLES JUMEAUX,https://live.staticflickr.com/65535/48539314037_11e4089149_b.jpg,unknown
55.05239964,2019-09-07T13:33:28.000Z,47.249169,1.351144,164006851@N07,salvati.florent,TRUE,Girafe,https://live.staticflickr.com/65535/48723472366_b185178399_b.jpg,FALSE
88.63990903,2019-07-30T10:18:46.000Z,48.995839,8.400777,125057668@N02,Paul MOINE,TRUE,Girafe réticulée (Giraffa camelopardalis reticulata),https://live.staticflickr.com/65535/48495705777_e0d9624e83_b.jpg,FALSE
83.12307,2019-07-30T10:18:54.000Z,48.995839,8.400777,125057668@N02,Paul MOINE,TRUE,Girafe réticulée (Giraffa camelopardalis reticulata),https://live.staticflickr.com/65535/48495702172_ebc74d48c5_b.jpg,FALSE
88.0998075,2019-07-24T14:05:52.000Z,49.179777,0.312244,167761632@N02,Nicoleb62,TRUE,Les curieuses,https://live.staticflickr.com/65535/48461307651_36d2c6807e_b.jpg,FALSE
88.46864104,2019-06-06T02:46:57.000Z,0,0,158365943@N06,macdelou,TRUE,GIRAFE-4123,https://live.staticflickr.com/65535/48012362936_55824e59b7_b.jpg,TRUE
73.9793539,2019-06-07T03:00:20.000Z,0,0,158365943@N06,macdelou,TRUE,GIRAFE bw-4123,https://live.staticflickr.com/65535/48018030783_598eec9ed5_b.jpg,TRUE