channelId,encounter_loc,user_country,videoId,enc_coords,user_coords
UCcZ7AsxyPn7GvXGTCbMakuQ,maui,United States,rfOi6VSfxnY,"(20.790616989135742, -156.33689880371094)","(39.49591064453125, -98.98998260498047)"
UC-k1CfsXDMcOB9XOqh0Fhfg,hervey bay australia,Switzerland,G1JC6ifb9rc,"(-25.290019989013672, 152.85308837890625)","(46.800209045410156, 8.229191780090332)"
UCUUWDzrkuEztzddaW_sgQbA,New Jersey,United States,41vGo7iX6IY,"(40.13877487182617, -74.67691040039062)","(39.49591064453125, -98.98998260498047)"
UCTHLKjpnAjdLQpSWqlP9l4A,"Danco Island, Antarctica",United States,BrgN6O1pcZM,"(-80.46617126464844, 21.346315383911133)","(39.49591064453125, -98.98998260498047)"
UCpIyRxik848T2KmOIiFX-bw,Ningaloo reed,Australia,UF2yZA-8Vgg,"(-22.66666603088379, 113.6500015258789)","(-25.578935623168945, 134.35972595214844)"
UClQK9j4uUAnrZamq1_FhtcQ,"Bonavista, Newfoundland",Canada,-goUL-IvZFU,"(48.65612030029297, -53.09912109375)","(62.536041259765625, -96.38835144042969)"
UCYs3EodFkeYFAVjd-PHQT0w,Vancouver Island,Canada,pNsvc3QsuUw,"(49.645389556884766, -125.7313461303711)","(62.536041259765625, -96.38835144042969)"
UCYixHqQPVh0hDutTYFBBTIw,"madeira, portugal",Portugal,S-SiL1jn9Ho,"(32.6511116027832, -16.909719467163086)","(39.679908752441406, -7.96866512298584)"
UCg178cchFvhCClnLWSR5iAw,River Thames,United Kingdom,098O0Zu_A3E,"(51.51948928833008, 0.12674300372600555)","(53.9438362121582, -2.550563097000122)"
UCVhtkN7-c8mA8GXEoxS4YQw,San Francisco Bay,United States,8TQGAxqb0tE,"(37.711116790771484, -122.29824829101562)","(39.49591064453125, -98.98998260498047)"
UC5ovaFtNA0Jbq7mf0vdKYjg,Southern California Coast,Ireland,I8Hs1_1WYVg,"(34.0, -117.0)","(53.18497085571289, -8.146897315979004)"
UCDmTfI1tCW37SVjcz3bm1qw,Hawaii,United States,hc0pn44WgYw,"(19.59851837158203, -155.5185546875)","(39.49591064453125, -98.98998260498047)"
UCNyVQi4_nYb6zf6IT9GdAzw,"Maui, Hawaii",United States,Asn6Cp1b_BQ,"(20.790616989135742, -156.33689880371094)","(39.49591064453125, -98.98998260498047)"
UCSEkylmK2ghqS2lX5s4dN5g,Kalbarri National Park,Germany,CjaB67HXaEM,"(-27.70903968811035, 114.16606903076172)","(51.12180709838867, 10.400694847106934)"
UCvFSBN1CT30ICVWpMiWkGuw,"Gabon, Africa",Austria,d3Y2l6ClLNE,"(-0.6238250136375427, 11.781533241271973)","(47.58708572387695, 14.14128589630127)"
UC8eRHe1F4BUV82LS3vYxwRA,Tonga,United States,XKZAChu_0_s,"(-21.173931121826172, -175.19204711914062)","(39.49591064453125, -98.98998260498047)"
UCKbRh0mMmEmggOz9vuL5U0w,Bora Bora,French Polynesia,6sM-9PGZuGE,"(-16.49867820739746, -151.73818969726562)","(-17.677398681640625, -149.40097045898438)"
UCLINwIDA1iwbEQY9gzpJU6Q,Turks and Caicos,United States,zzQCl1UQiXk,"(21.77568244934082, -71.7576675415039)","(39.49591064453125, -98.98998260498047)"
UCNyVQi4_nYb6zf6IT9GdAzw,Maui,United States,Gbr3HIl4MzE,"(20.790616989135742, -156.33689880371094)","(39.49591064453125, -98.98998260498047)"
UCEBovYtl6ChsBw2Ur2qr2_A," El Valle, Chocó, Colombia",United Kingdom,VPQrWGRibMM,"(6.089104175567627, -77.39573669433594)","(53.9438362121582, -2.550563097000122)"
UC3FyQYnRWVAcwJHN3wKuk-A,"Maui, Hawaii",United States,HFXC_5Po2HM,"(20.790616989135742, -156.33689880371094)","(39.49591064453125, -98.98998260498047)"
UC4wpA1LVqhGKp5Dv0TcVy_g,Cape Cod,United States,T8VitedBz0s,"(41.77968978881836, -70.27164459228516)","(39.49591064453125, -98.98998260498047)"
UCyrjbkxt4kBuVJJuqVTkylw,Mexico,United States,YcQu8gqEj4A,"(23.940610885620117, -102.52513885498047)","(39.49591064453125, -98.98998260498047)"
UCWmDljD65ZT0mz6Xtizl-og,California,United States,kYjdoSmCWEA,"(37.25510025024414, -119.61752319335938)","(39.49591064453125, -98.98998260498047)"
UCVnmz_8TzMvzgSeFG-kK5KQ,"Hervey Bay, Queensland, Australia",Australia,2me9co1LgYs,"(-25.290019989013672, 152.85308837890625)","(-25.578935623168945, 134.35972595214844)"
UC5cSyLO47Ds090WUB0o0wYA,Tonga,"Korea, Republic of",WB5dIrwgNKs,"(-21.173931121826172, -175.19204711914062)","(36.45115661621094, 127.86114501953125)"
UCHtq2-PexJn1fA8LlSD2yAw,Monterey Bay,United States,WLpVbMFLH4A,"(36.78715133666992, -121.97184753417969)","(39.49591064453125, -98.98998260498047)"
UCK_JNpBwTQs_UIffijn9QAA,Australia,Australia,XGcXZ3D9vmI,"(-25.578935623168945, 134.35972595214844)","(-25.578935623168945, 134.35972595214844)"
UCdkkQY5Eiss3B53ujWJJuGg,monaco,Monaco,6FvEKV7OR3Y,"(43.736305236816406, 7.423315048217773)","(43.736305236816406, 7.423315048217773)"
UC2UV6UwF0UKq0hRApDP04DA,alaska,Canada,Np6V-QPtu5U,"(63.17411422729492, -153.7042694091797)","(62.536041259765625, -96.38835144042969)"
UCNah6GuiD2DVZkvQeOwU1Zg,San Jose del Cabo,Mexico,dtks5-mDh8c,"(23.076900482177734, -109.70915222167969)","(23.940610885620117, -102.52513885498047)"
UCiJOjbmo2HJoOqiZZBDRT6w,new caledonia,France,QGkpxxxN7zs,"(-21.32696533203125, 165.4899444580078)","(46.62184143066406, 2.4519479274749756)"
UC88VyGjS_IClVjkHRC-OAvw,iceland,United States,GRGkgSZgINs,"(64.983642578125, -18.57710075378418)","(39.49591064453125, -98.98998260498047)"
UCgrNz-aDmcr2uuto8_DL2jg,argentina,China,Z2ONc7j8AGk,"(-35.18123245239258, -65.09395599365234)","(36.563114166259766, 103.73580932617188)"
UCzdrPLXroiBVnRjf1eSftsA,jervis bay,Australia,9gf3qOR-cog,"(-35.06211471557617, 150.73416137695312)","(-25.578935623168945, 134.35972595214844)"
UCIYLOcEUX6TbBo7HQVF2PKA,"sydney, australia",Australia,DnZ2qU4UpG4,"(-33.869598388671875, 151.2069091796875)","(-25.578935623168945, 134.35972595214844)"
UCj9y72ex6M4an8-WN__WKXg,Fraser Island Queensland,Australia,A5zTgVR4Ehc,"(-25.259939193725586, 153.14317321777344)","(-25.578935623168945, 134.35972595214844)"
UCW9vAtCH-Xg3CSbP44k92Qw,Waikiki Hawaii,United States,JShVFlzhoRk,"(21.279460906982422, -157.826171875)","(39.49591064453125, -98.98998260498047)"
UCnBSzeRIvizS83QWTN72oBw,Maui,United States,K5qzIkVJE58,"(20.790616989135742, -156.33689880371094)","(39.49591064453125, -98.98998260498047)"
UCVSNOxehfALut52NbkfRBaA,Peru,United States,XhXsgDECwXg,"(-9.171274185180664, -74.35688781738281)","(39.49591064453125, -98.98998260498047)"
UC7oDxV2GI-17LfsU31DLHbQ,Alaska,United States,NRffY15ScTw,"(63.17411422729492, -153.7042694091797)","(39.49591064453125, -98.98998260498047)"
UC8WSpLAUfO162JWQAQBqSyw,"Isla del Caño, Costa Rica",Colombia,_H03FqN2LgE,"(5.530741214752197, -87.06028747558594)","(3.90665602684021, -73.07620239257812)"
UCsHWvReb1khpqK9d6FBE65Q,"Oregon, United States",United States,7pWC0n1K_fI,"(43.938812255859375, -120.55858612060547)","(39.49591064453125, -98.98998260498047)"
UC5ovaFtNA0Jbq7mf0vdKYjg,"Maui, Hawaii",Ireland,FkEOVn2qDjs,"(20.790616989135742, -156.33689880371094)","(53.18497085571289, -8.146897315979004)"
