channelID,country
UCpjss1gmepea-cg0JN_6J3w,US
UC3339WgBDKIcxTfywuSmG8w,US
UCX4py0rkBIdjUqNJCH_JQDw,FR
UCdAeRRjq6vjnAkxatZVxxxg,US
UCW3T8dQVEynwj6-_DArcM7w,US
UCRAxVOVt3sasdcxW343eg_A,US
UCKjU3KzdbJE1EFcHVqXC3_g,CA
UCO0akufu9MOzyz3nvGIXAAw,AU
UCYvK454OcHnI4YDogVRj1Dg,US
UCVJ0hBjKHTLKZK8-aaH078Q,CA
UCgrNz-aDmcr2uuto8_DL2jg,CN
UCkiACvosvDX1GzsAgWYcv2g,IT
UCiW-KeNXqSpMiOgyf4W-anQ,US
UC54CwAwqwC0GCloyrKrFTDA,US
UC3339WgBDKIcxTfywuSmG8w,US
UCcR4cyQyAF-guvk7Wm5Lbqg,GB
UCQskazp1iN1ARFU1FXZOb4w,US
UCkS_14JnmG72xIqdGq3TavA,US
UC3HDFpCnZtLZjEdpzKT9tGA,US
UCcZ7AsxyPn7GvXGTCbMakuQ,US
UC_vRepQuzI527GtEP1pGYZw,ZA
UC-k1CfsXDMcOB9XOqh0Fhfg,CH
UCUUWDzrkuEztzddaW_sgQbA,US
UCTHLKjpnAjdLQpSWqlP9l4A,US
UCsSPuiaZiGpzPB9mbAlCeYw,BR
UChrhpjHMvCoJQtXPs17BAQA,US
UCpIyRxik848T2KmOIiFX-bw,AU
UCHtq2-PexJn1fA8LlSD2yAw,US
UClQK9j4uUAnrZamq1_FhtcQ,CA
UCYs3EodFkeYFAVjd-PHQT0w,CA
UCYixHqQPVh0hDutTYFBBTIw,PT